T04,International migrants and refugees,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
18,Southern Africa,2024,International migrant stock: Female (% total Population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2005,International migrant stock: Both sexes (number),"6,000,026",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2005,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2005,International migrant stock: Male (% total Population),2.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2005,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2010,International migrant stock: Both sexes (number),"6,413,896",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2010,International migrant stock: Both sexes (% total population),2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2010,International migrant stock: Male (% total Population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2010,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2015,International migrant stock: Both sexes (number),"7,206,050",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2015,International migrant stock: Both sexes (% total population),2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2015,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2015,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2024,International migrant stock: Both sexes (number),"8,236,829",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2024,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2024,International migrant stock: Male (% total Population),2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
11,Western Africa,2024,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2005,International migrant stock: Both sexes (number),"45,658,615",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2005,International migrant stock: Both sexes (% total population),13.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2005,International migrant stock: Male (% total Population),13.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2005,International migrant stock: Female (% total Population),13.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2010,International migrant stock: Both sexes (number),"51,007,867",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2010,International migrant stock: Both sexes (% total population),14.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2010,International migrant stock: Male (% total Population),14.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2010,International migrant stock: Female (% total Population),15,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2015,International migrant stock: Both sexes (number),"56,019,067",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2015,International migrant stock: Both sexes (% total population),15.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2015,International migrant stock: Male (% total Population),15,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2015,International migrant stock: Female (% total Population),15.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2015,Total refugees and people in refugee-like situations (number),"416,385",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
21,Northern America,2015,"Asylum seekers, including pending cases (number)","238,989",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
21,Northern America,2015,Total population of concern to UNHCR (number),"655,374",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
21,Northern America,2019,Total refugees and people in refugee-like situations (number),"420,131",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
21,Northern America,2019,"Asylum seekers, including pending cases (number)","809,134",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
21,Northern America,2019,Other of concern to UNHCR (number),"3,790",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
21,Northern America,2019,Total population of concern to UNHCR (number),"1,233,055",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
21,Northern America,2024,International migrant stock: Both sexes (number),"61,207,877",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2024,International migrant stock: Both sexes (% total population),15.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2024,International migrant stock: Male (% total Population),15.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
21,Northern America,2024,International migrant stock: Female (% total Population),16.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2005,International migrant stock: Both sexes (number),"7,111,817",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2005,International migrant stock: Both sexes (% total population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2005,International migrant stock: Male (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2005,International migrant stock: Female (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2010,International migrant stock: Both sexes (number),"8,275,866",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2010,International migrant stock: Both sexes (% total population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2010,International migrant stock: Male (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2010,International migrant stock: Female (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
