Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"5304","'035","South-eastern Asia","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD","23319.981433","24071.063157","21227.864211","26968.127673","32250.401402","40394.581339","45676.198743","51617.374781","36237.427529","48897.524947","79176.552607","84047.149924","51775.322785","74896.325306","56678.819188","77899.951746","88346.269489","96480.741889","56667.494014","53797.607551","130368.020365","84422.899104","111707.175097","112100.333468","128360.297458","125412.161042","117664.236749","154234.559204","139904.094363","156448.969843","114672.105617","189061.688998","192799.963024","191600.908108"
"5304","'035","South-eastern Asia","23085","Total FDI outflows","6110","Value US$","million USD","2327.955030","923.967380","2394.483160","4303.943550","10986.092130","12079.052040","14681.810780","15826.286310","4765.956310","10089.574620","9054.956551","20522.115255","4968.421802","5784.754521","19591.054789","20299.186510","31296.476650","63675.975680","33801.506231","49334.651338","63294.007498","65333.779380","62710.889333","83803.422702","89671.336864","73476.582036","52189.093481","92140.158897","59058.365277","91436.849587","69300.480017","91703.876793","83489.167325","88514.188840"
"5304","'035","South-eastern Asia","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD","4200.163126","1525.325206","3945.397400","6591.214896","16269.103296","15557.350777","18138.238542","20303.734726","7281.889100","15528.315974","13539.624296","31811.767461","7805.974215","9047.094021","29456.722408","29134.656077","40785.817767","74570.785858","35210.053724","55023.291086","63526.101576","58768.035432","56274.193078","76424.479055","83487.163569","73476.582036","53037.394817","89843.626504","54974.068813","84980.930245","65248.164116","80115.093472","70963.612301","74981.877872"
"5305","'145","Western Asia","23082","Total FDI inflows","6110","Value US$","million USD","1064.053000","2283.927000","3519.452000","2663.348100","2471.485680","4595.880370","6835.400260","8616.631670","6890.291340","7476.367010","10915.459847","13254.192050","8833.339762","19379.023295","27856.978285","53480.624270","87256.715590","127885.757300","145719.224739","128359.278895","125361.387114","121228.178041","126242.032288","152208.972174","172965.661066","163271.863509","180567.292202","59126.728320","57047.908304","99283.011311","27802.402639","87804.285771","86882.528823","80228.030848"
"5305","'145","Western Asia","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD","1499.209597","4672.550778","7890.048028","6490.045989","5012.543379","7375.956335","11709.331327","14371.085427","11377.689818","10713.112356","16794.867975","23162.353962","15833.953002","32965.359477","44734.908385","71705.011503","107458.736124","139097.545804","136735.605065","137560.474674","121287.002003","104071.558471","104978.941128","127917.954774","146310.772979","163271.863509","189375.970529","59185.720879","54539.066969","96257.551037","29340.833714","79415.146301","70867.671514","70336.750358"
"5305","'145","Western Asia","23085","Total FDI outflows","6110","Value US$","million USD","-706.072550","162.786140","-592.983630","1537.722080","440.453020","-35.546970","3219.357980","861.376630","185.898130","2448.327490","6431.796122","1369.924841","4320.019464","2149.114671","14525.430451","16931.934573","39712.982748","44739.462042","48700.286830","20233.759874","28711.363289","37042.660900","28769.374159","77530.751439","88897.282308","94294.774428","67291.716996","58737.491256","47432.039537","103575.616041","22075.600630","69252.450350","88017.661124","66913.966580"
"5305","'145","Western Asia","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD","-1786.367421","160.771945","-1052.305106","2865.364759","612.472149","-554.995189","5626.782039","1168.444988","-1101.097048","3897.429877","9997.697637","2297.561773","7635.028830","3732.035960","21195.409393","21770.358814","48086.464229","46977.173238","43330.637928","20126.380851","27435.443166","30658.045175","22821.557973","61095.199805","75137.242937","94294.774428","70501.790486","58141.700578","43398.875468","99304.142257","25448.250683","62076.017441","65765.682103","55329.192572"
"5400","'150","Europe","23082","Total FDI inflows","6110","Value US$","million USD","94456.932390","72303.993160","66137.703660","71951.999650","81952.199560","130681.910450","123715.680730","149841.497740","270693.976710","411189.366530","622651.504718","279548.381373","402100.225232","356482.546641","274455.523499","571995.875231","707097.093145","1090554.459559","670489.820170","599344.593007","640848.351410","1026550.923249","733438.320802","433805.292567","304148.570216","745593.844717","781454.997783","500125.698729","398984.868617","417858.050921","104593.589475","96335.835452","-181220.417581","13828.328745"
"5400","'150","Europe","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD","142190.959904","104350.369658","92455.963475","110247.143248","118771.914643","170153.469533","160733.109949","209546.829094","371831.658462","572845.165149","953367.009838","441982.774384","631590.887832","465572.324514","327332.791081","625742.244295","749496.137472","1012298.628702","568878.337265","562933.962815","598325.720458","878717.006503","657622.184075","361807.767557","260774.621521","745593.844717","815730.172317","503079.221533","364554.954752","386302.021144","88965.734266","54002.835944","-150105.275647","4104.765862"
"5400","'150","Europe","23085","Total FDI outflows","6110","Value US$","million USD","134616.243800","109053.103150","103471.621230","100719.284320","134694.556520","166423.432300","199792.825310","244091.241570","415489.705400","649063.060530","756840.333271","320053.768004","357006.037237","368125.641403","462221.659768","715872.843639","884772.639933","1396068.329907","1161305.347745","642697.212125","805636.573979","1055457.185234","645651.520489","504997.907397","316000.757311","810948.182304","602784.652724","543127.821743","448363.776399","356988.353959","-10908.519114","659258.512067","215352.266196","328105.459459"
